(fort10_06b) UCI J-v8.4 (4/06) JPL02+irHNO4+IUPAC/NO2/VOC+Blitz +flux2006     
NW-JValues   62   64   18    1   18  NJVAL,NQQQ, NWWW, NW1:NW2=01:18 or 12:18
w-eff (nm)      187.      191.      193.      196.      202.      208.
                211.      214.      261.      267.      277.      295.
                303.      310.      316.      333.      380.      574.
SOL#/cm2/s 1.391E+12 1.627E+12 1.664E+12 9.278E+11 7.842E+12 4.680E+12
           9.918E+12 1.219E+13 6.364E+14 4.049E+14 3.150E+14 5.889E+14
           7.678E+14 5.045E+14 8.902E+14 3.853E+15 1.547E+16 2.131E+17
Raylay cm2 5.073E-25 4.479E-25 4.196E-25 3.906E-25 3.355E-25 2.929E-25
           2.736E-25 2.581E-25 1.049E-25 9.492E-26 8.103E-26 6.131E-26
           5.422E-26 4.923E-26 4.514E-26 3.643E-26 2.087E-26 3.848E-27
O2     180 1.727E-21 1.989E-22 3.004E-23 9.833E-24 7.306E-24 6.835E-24
           6.243E-24 5.804E-24 8.662E-26 5.040E-25 4.163E-25 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
O2     260 2.273E-21 3.070E-22 4.943E-23 1.408E-23 7.688E-24 6.835E-24
           6.243E-24 5.886E-24 8.662E-26 5.040E-25 4.163E-25 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
O2     300 2.763E-21 4.269E-22 7.478E-23 2.100E-23 8.350E-24 6.835E-24
           6.243E-24 5.992E-24 8.662E-26 5.040E-25 4.163E-25 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
O3     180 5.849E-19 4.708E-19 4.154E-19 3.549E-19 3.230E-19 4.555E-19
           6.287E-19 9.126E-19 8.846E-18 3.467E-18 1.495E-18 7.561E-19
           2.367E-19 8.756E-20 3.690E-20 4.256E-21 1.806E-23 1.625E-21
O3     260 5.916E-19 4.794E-19 4.246E-19 3.651E-19 3.332E-19 4.610E-19
           6.325E-19 8.750E-19 8.857E-18 3.565E-18 1.555E-18 8.016E-19
           2.572E-19 9.710E-20 4.136E-20 5.409E-21 2.784E-23 1.625E-21
O3     300 5.884E-19 4.736E-19 4.183E-19 3.557E-19 3.302E-19 4.688E-19
           6.372E-19 8.993E-19 8.863E-18 3.597E-18 1.597E-18 8.391E-19
           2.778E-19 1.079E-19 4.720E-20 6.725E-21 4.845E-23 1.625E-21
O3(1D) 180 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           8.926E-01 4.516E-01 8.621E-02 7.740E-02 0.000E+00 0.000E+00
O3(1D) 260 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           8.934E-01 5.091E-01 1.472E-01 8.632E-02 0.000E+00 0.000E+00
O3(1D) 300 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           8.954E-01 5.723E-01 2.362E-01 9.937E-02 0.000E+00 0.000E+00
NO     300 1.009E-18 1.156E-18 5.791E-19 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 1.482E-20 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
NO     300 1.009E-18 1.156E-18 5.791E-19 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 1.482E-20 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
H2COa  223 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           1.945E-20 1.289E-20 1.969E-20 4.324E-21 5.105E-26 0.000E+00
H2COa  293 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           1.850E-20 1.317E-20 1.895E-20 3.922E-21 4.467E-26 0.000E+00
H2COb  223 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           6.397E-21 4.443E-21 9.027E-21 1.040E-20 1.960E-22 0.000E+00
H2COb  293 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           6.086E-21 4.543E-21 8.717E-21 9.424E-21 1.903E-22 0.000E+00
H2O2   200 2.120E-19 4.214E-19 4.925E-19 5.431E-19 4.449E-19 3.760E-19
           3.459E-19 3.196E-19 5.333E-20 4.860E-20 3.421E-20 8.360E-21
           5.008E-21 3.220E-21 2.115E-21 7.984E-22 2.101E-23 0.000E+00
H2O2   300 2.046E-19 4.066E-19 4.752E-19 5.241E-19 4.293E-19 3.628E-19
