(FJX_spec 05e) UCI J-v8.4(Xwts) (6/05) JPL02+irHNO4+IUPAC/NO2/VOC+Blitz         
NW-JValues   62   64   18    1   18  NJVAL,NQQQ, NWWW, NW1:NW2=01:18 or 12:18
w-eff (nm)      187.      191.      194.      196.      202.      208.
                211.      214.      261.      268.      278.      295.
                303.      310.      316.      333.      380.      574.
SOL#/cm2/s 1.212E+12 1.417E+12 1.474E+12 8.412E+11 7.218E+12 4.391E+12
           8.905E+12 1.093E+13 6.106E+14 4.102E+14 3.090E+14 5.737E+14
           7.343E+14 5.021E+14 8.706E+14 3.786E+15 1.544E+16 2.110E+17
Raylay cm2 5.084E-25 4.468E-25 4.184E-25 3.904E-25 3.355E-25 2.929E-25
           2.736E-25 2.579E-25 1.050E-25 9.376E-26 8.043E-26 6.124E-26
           5.422E-26 4.921E-26 4.515E-26 3.645E-26 2.082E-26 3.853E-27
O2     180 1.728E-21 1.992E-22 3.006E-23 9.843E-24 7.305E-24 6.835E-24
           6.243E-24 5.798E-24 8.625E-26 4.746E-25 3.994E-25 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
O2     260 2.271E-21 3.059E-22 4.913E-23 1.408E-23 7.688E-24 6.835E-24
           6.243E-24 5.875E-24 8.625E-26 4.746E-25 3.994E-25 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
O2     300 2.757E-21 4.239E-22 7.402E-23 2.102E-23 8.353E-24 6.835E-24
           6.243E-24 5.974E-24 8.625E-26 4.746E-25 3.994E-25 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
O3     180 5.868E-19 4.685E-19 4.131E-19 3.546E-19 3.228E-19 4.555E-19
           6.287E-19 9.129E-19 8.865E-18 3.464E-18 1.494E-18 7.482E-19
           2.366E-19 8.725E-20 3.692E-20 4.295E-21 1.804E-23 1.630E-21
O3     260 5.934E-19 4.772E-19 4.223E-19 3.648E-19 3.330E-19 4.610E-19
           6.325E-19 8.753E-19 8.877E-18 3.564E-18 1.553E-18 7.933E-19
           2.572E-19 9.674E-20 4.140E-20 5.457E-21 2.777E-23 1.630E-21
O3     300 5.902E-19 4.712E-19 4.159E-19 3.555E-19 3.301E-19 4.687E-19
           6.372E-19 8.997E-19 8.882E-18 3.597E-18 1.596E-18 8.307E-19
           2.778E-19 1.075E-19 4.724E-20 6.783E-21 4.824E-23 1.630E-21
O3(1D) 180 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           8.926E-01 4.465E-01 8.622E-02 7.739E-02 0.000E+00 0.000E+00
O3(1D) 260 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           8.934E-01 5.046E-01 1.473E-01 8.643E-02 0.000E+00 0.000E+00
O3(1D) 300 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           8.954E-01 5.683E-01 2.363E-01 9.966E-02 0.000E+00 0.000E+00
NO     300 1.020E-18 1.158E-18 5.498E-19 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 1.390E-20 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
NO     300 1.020E-18 1.158E-18 5.498E-19 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 1.390E-20 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
H2COa  223 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           1.929E-20 1.275E-20 1.970E-20 4.354E-21 5.076E-26 0.000E+00
H2COa  293 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           1.835E-20 1.305E-20 1.896E-20 3.950E-21 4.442E-26 0.000E+00
H2COb  223 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           6.344E-21 4.395E-21 9.026E-21 1.041E-20 1.949E-22 0.000E+00
H2COb  293 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           6.035E-21 4.502E-21 8.714E-21 9.434E-21 1.892E-22 0.000E+00
H2O2   200 1.927E-19 3.846E-19 4.477E-19 5.428E-19 4.449E-19 3.760E-19
           3.459E-19 3.193E-19 5.343E-20 4.679E-20 3.328E-20 8.321E-21
           5.009E-21 3.215E-21 2.116E-21 8.010E-22 2.088E-23 0.000E+00
H2O2   300 1.859E-19 3.711E-19 4.320E-19 5.238E-19 4.293E-19 3.628E-19
           3.338E-19 3.081E-19 5.476E-20 4.726E-20 3.347E-20 9.259E-21
           5.736E-21 3.797E-21 2.584E-21 1.049E-21 2.699E-23 0.000E+00
CH3OOH 297 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.261E-23
           2.746E-19 2.440E-19 2.750E-20 2.677E-20 2.154E-20 5.599E-21
           3.574E-21 2.437E-21 1.756E-21 7.428E-22 4.236E-23 0.000E+00
CH3OOH 298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.261E-23
           2.746E-19 2.440E-19 2.750E-20 2.677E-20 2.154E-20 5.599E-21
           3.574E-21 2.437E-21 1.756E-21 7.428E-22 4.236E-23 0.000E+00
NO2    220 0.000E+00 0.000E+00 0.000E+00 0.000E+00 9.064E-20 3.942E-19
           4.317E-19 4.467E-19 3.114E-20 9.853E-20 1.142E-19 1.056E-19
           1.476E-19 1.879E-19 2.280E-19 3.255E-19 4.400E-19 2.342E-22
NO2    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 9.028E-20 4.053E-19
           4.544E-19 4.752E-19 3.364E-20 1.015E-19 1.157E-19 1.055E-19
           1.493E-19 1.886E-19 2.281E-19 3.452E-19 4.594E-19 4.424E-22
NO3    297 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 8.344E-19
NO3    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 8.344E-19
N2O5   225 0.000E+00 0.000E+00 6.554E-19 2.657E-19 6.846E-18 6.566E-18
           5.183E-18 3.988E-18 2.699E-19 2.666E-19 2.732E-19 3.800E-20
           1.998E-20 1.167E-20 7.250E-21 2.296E-21 1.163E-22 0.000E+00
N2O5   300 0.000E+00 0.000E+00 6.554E-19 2.657E-19 6.846E-18 6.566E-18
           5.183E-18 3.988E-18 2.699E-19 2.715E-19 2.878E-19 5.379E-20
           3.317E-20 2.222E-20 1.552E-20 6.409E-21 5.429E-22 0.000E+00
HNO2   297 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 1.200E-20 3.472E-20 1.090E-19 8.645E-20 0.000E+00
HNO2   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 1.200E-20 3.472E-20 1.090E-19 8.645E-20 0.000E+00
HNO3   200 6.965E-18 1.023E-17 1.033E-17 8.226E-18 3.788E-18 1.301E-18
           6.914E-19 4.947E-19 1.631E-20 1.743E-20 1.802E-20 3.371E-21
           1.378E-21 5.452E-22 2.102E-22 2.155E-23 8.768E-26 0.000E+00
HNO3   300 7.077E-18 1.054E-17 1.082E-17 9.107E-18 4.473E-18 1.565E-18
           8.458E-19 5.796E-19 1.877E-20 2.100E-20 2.241E-20 4.355E-21
           1.923E-21 8.315E-22 3.589E-22 4.765E-23 2.667E-25 0.000E+00
HNO4   297 2.813E-18 5.561E-18 6.267E-18 7.476E-18 4.750E-18 2.866E-18
           2.220E-18 1.834E-18 2.811E-19 2.129E-19 1.493E-19 2.580E-20
           1.103E-20 5.222E-21 2.794E-21 2.302E-22 0.000E+00 4.739E-23
HNO4   298 2.813E-18 5.561E-18 6.267E-18 7.476E-18 4.750E-18 2.866E-18
           2.220E-18 1.834E-18 2.811E-19 2.129E-19 1.493E-19 2.580E-20
           1.103E-20 5.222E-21 2.794E-21 2.302E-22 0.000E+00 4.739E-23
ClNO3a 210 8.854E-20 2.786E-19 5.789E-19 9.792E-19 1.600E-18 1.789E-18
           1.936E-18 2.026E-18 2.003E-19 2.712E-19 1.999E-19 2.100E-20
           1.126E-20 6.883E-21 4.724E-21 2.359E-21 9.428E-22 6.843E-24
ClNO3a 296 9.512E-20 2.989E-19 6.177E-19 1.048E-18 1.669E-18 1.808E-18
           1.933E-18 2.011E-18 2.317E-19 2.896E-19 2.072E-19 2.744E-20
           1.542E-20 9.840E-21 6.951E-21 3.337E-21 1.161E-21 9.535E-24
ClNO3b 210 5.905E-20 1.858E-19 3.859E-19 6.528E-19 1.067E-18 1.192E-18
           1.291E-18 1.351E-18 1.335E-19 1.808E-19 1.332E-19 1.400E-20
           7.502E-21 4.336E-21 2.462E-21 7.223E-22 2.647E-23 0.000E+00
ClNO3b 296 6.343E-20 1.993E-19 4.118E-19 6.984E-19 1.113E-18 1.205E-18
           1.289E-18 1.340E-18 1.545E-19 1.931E-19 1.381E-19 1.830E-20
           1.028E-20 6.195E-21 3.620E-21 1.036E-21 3.273E-23 0.000E+00
Cl2    200 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.736E-21 2.184E-20 4.812E-20 8.194E-20
           1.387E-19 1.882E-19 2.283E-19 2.549E-19 6.209E-20 6.456E-22
Cl2    300 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 5.138E-21 2.585E-20 5.345E-20 8.719E-20
           1.403E-19 1.851E-19 2.205E-19 2.436E-19 6.467E-20 6.807E-22
HOCl   297 0.000E+00 0.000E+00 4.931E-21 2.073E-21 4.917E-20 5.423E-20
           5.793E-20 6.707E-20 1.023E-19 6.430E-20 5.411E-20 5.574E-20
           6.067E-20 5.955E-20 5.379E-20 3.130E-20 6.501E-21 1.218E-23
HOCl   298 0.000E+00 0.000E+00 4.931E-21 2.073E-21 4.917E-20 5.423E-20
           5.793E-20 6.707E-20 1.023E-19 6.430E-20 5.411E-20 5.574E-20
           6.067E-20 5.955E-20 5.379E-20 3.130E-20 6.501E-21 1.218E-23
OClO   204 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 2.579E-19 4.827E-19 7.348E-19 1.168E-18
           1.805E-18 2.562E-18 3.048E-18 4.699E-18 3.310E-18 4.019E-20
OClO   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 2.579E-19 4.827E-19 7.348E-19 1.168E-18
           1.805E-18 2.562E-18 3.048E-18 4.699E-18 3.310E-18 4.019E-20
Cl2O2  229 1.607E-18 3.199E-18 3.698E-18 4.465E-18 3.491E-18 2.731E-18
           2.406E-18 2.207E-18 3.744E-18 1.886E-18 1.273E-18 9.307E-19
           6.255E-19 4.331E-19 3.063E-19 1.572E-19 2.697E-20 1.621E-22
Cl2O2  230 1.607E-18 3.199E-18 3.698E-18 4.465E-18 3.491E-18 2.731E-18
           2.406E-18 2.207E-18 3.744E-18 1.886E-18 1.273E-18 9.307E-19
           6.255E-19 4.331E-19 3.063E-19 1.572E-19 2.697E-20 1.621E-22
ClO    297 0.000E+00 0.000E+00 1.435E-20 5.211E-21 1.889E-19 3.038E-19
           3.488E-19 3.902E-19 4.613E-18 3.078E-18 1.698E-18 1.292E-18
           4.498E-19 1.499E-19 5.201E-20 2.487E-21 0.000E+00 0.000E+00
ClO    298 0.000E+00 0.000E+00 1.435E-20 5.211E-21 1.889E-19 3.038E-19
           3.488E-19 3.902E-19 4.613E-18 3.078E-18 1.698E-18 1.292E-18
           4.498E-19 1.499E-19 5.201E-20 2.487E-21 0.000E+00 0.000E+00
BrO    297 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           1.840E-18 3.617E-18 4.197E-18 6.167E-18 6.365E-19 0.000E+00
BrO    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           1.840E-18 3.617E-18 4.197E-18 6.167E-18 6.365E-19 0.000E+00
BrNO3  230 0.000E+00 0.000E+00 3.867E-19 1.597E-19 3.890E-18 3.829E-18
           3.342E-18 3.005E-18 5.345E-19 5.791E-19 4.403E-19 2.066E-19
           1.739E-19 1.486E-19 1.264E-19 8.806E-20 3.680E-20 1.442E-21
BrNO3  298 0.000E+00 0.000E+00 4.709E-19 1.963E-19 4.616E-18 4.201E-18
           3.465E-18 3.017E-18 5.531E-19 5.766E-19 4.418E-19 2.091E-19
           1.702E-19 1.420E-19 1.203E-19 8.631E-20 3.680E-20 1.443E-21
HOBr   297 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 1.265E-19 2.035E-19 2.212E-19 2.194E-19
           1.727E-19 1.368E-19 1.158E-19 1.124E-19 6.157E-20 2.759E-21
HOBr   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 1.265E-19 2.035E-19 2.212E-19 2.194E-19
           1.727E-19 1.368E-19 1.158E-19 1.124E-19 6.157E-20 2.759E-21
BrCl   295 0.000E+00 0.000E+00 1.876E-21 6.930E-22 2.396E-20 3.703E-20
           4.155E-20 4.528E-20 2.454E-20 1.840E-20 1.072E-20 6.207E-21
           8.063E-21 1.273E-20 2.233E-20 9.996E-20 3.062E-19 2.085E-20
BrCl   298 0.000E+00 0.000E+00 1.876E-21 6.930E-22 2.396E-20 3.703E-20
           4.155E-20 4.528E-20 2.454E-20 1.840E-20 1.072E-20 6.207E-21
           8.063E-21 1.273E-20 2.233E-20 9.996E-20 3.062E-19 2.085E-20
N2O    200 1.065E-19 8.303E-20 6.784E-20 5.019E-20 2.100E-20 6.197E-21
           3.137E-21 2.400E-21 3.170E-25 9.720E-24 4.034E-23 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
N2O    300 1.212E-19 9.844E-20 8.267E-20 6.426E-20 3.031E-20 1.110E-20
           6.355E-21 4.533E-21 1.441E-24 3.766E-23 1.148E-22 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CFCl3  210 2.242E-18 1.640E-18 1.327E-18 9.878E-19 4.774E-19 1.726E-19
           9.677E-20 6.833E-20 3.716E-23 5.403E-22 1.631E-21 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CFCl3  298 2.242E-18 1.640E-18 1.327E-18 9.878E-19 4.894E-19 2.040E-19
           1.270E-19 9.220E-20 9.748E-23 1.216E-21 2.850E-21 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CF2Cl2 210 9.836E-19 5.131E-19 3.272E-19 1.518E-19 3.668E-20 5.683E-21
           2.471E-21 5.589E-21 1.848E-25 6.046E-24 2.653E-23 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CF2Cl2 298 1.019E-18 5.775E-19 3.959E-19 2.177E-19 6.305E-20 1.272E-20
           5.987E-21 8.393E-21 8.011E-25 2.328E-23 7.981E-23 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
F113   210 9.551E-19 5.845E-19 4.188E-19 2.475E-19 7.441E-20 1.707E-20
           8.903E-21 1.044E-20 3.422E-24 5.358E-23 1.487E-22 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
